constituentId,lastName,firstName,displayName,searchBeginDate,searchEndDate,displayDate,code,nationality,constituentType,birthPlace,deathPlace,luceArtistBiography,artworkConstituentRelationship,akaNames,deathDate,birthDate
1018,Covarrubias,Miguel,Miguel Covarrubias,1904,1957,"Mexican, born Mexico City, Mexico 1904-died Mexico City, Mexico 1957",Verified,Mexican,Individual,"Mexico City, Mexico","Mexico City, Mexico",,Artist,Miguel Duclaud Covarrubias,1957-2-4,1904-11-22
1521,Fernandez,Rudy,Rudy Fernandez,1948,2048,"born Trinidad, CO 1948",Verified,American,Individual,"Trinidad, Colorado, United States",,,Artist,"Rudy M. Fernandez, Jr.",,1948-9-21
1672,Fresquís,Pedro Antonio,Pedro Antonio Fresquís,1749,1831,born 1749-died 1831,Provisional,American,Individual,,,,Artist,Pedro Antonio Fresquis,1831,1749
1730,Garcia,L.,L. Garcia,0,0,n.d.,Provisional,,Individual,,,,Artist,,,
1732,García,Rupert,Rupert García,1941,2041,"born French Camp, CA 1941",Verified,American,Individual,"French Camp, California, United States",,,Artist,Marshall R. Garcia,,1941-9-29
1995,Gutierrez,Lola,Lola Gutierrez,0,0,n.d.,Provisional,American,Individual,,,,Artist,,,
2184,Hernandez,Anthony,Anthony Hernandez,1947,2047,"born Los Angeles, CA 1947",Verified,American,Individual,"Los Angeles, California, United States",,,Artist,Anthony Louis Hernandez,,1947-7-7
2185,Herrera,Frank P.,Frank P. Herrera,1940,2040,"born Beckley, WV 1940",Verified,American,Individual,"Beckley, West Virginia, United States",,,Artist,Tico,,1940-11-9
2186,Herrera,Justino,Justino Herrera,1920,2020,born 1920,Provisional,American,Individual,,,,Artist,Stimone,,1920
2459,Jiménez,Luis,Luis Jiménez,1940,2006,"born El Paso, TX 1940-died Hondo, NM 2006",Verified,American,Individual,"El Paso, Texas, United States","El Paso, Texas, United States","<p>As a child, Luis Jiménez apprenticed at his father's neon-sign studio. He studied art and architecture at the University of Texas and then traveled to Mexico City, where he studied the famous Mexican muralists. Jiménez taught art at an El Paso junior high school until he was temporarily paralyzed from the chest down in a car accident. In 1966 the artist moved to New York, where he began making painted fiberglass figurative works inspired by the everyday lives of Latin Americans living in the Southwest. His work shows his concern for working-class people and those who have suffered from discrimination. One such work, <i>Vaquero</i>, celebrates the Mexican tradition of the caballero and can be seen outside the Smithsonian American Art Museum.</p>",Artist,Luis Alfonso Jiménez Jr.,2006-6-13,1940-7-30
2992,Lopez,George,George Lopez,1900,1993,"born Cordova, NM 1900-died Cordova, NM 1993",Verified,American,Individual,"Cordova, New Mexico, United States","Cordova, New Mexico, United States","<p>
George Lopez came from several generations of wood-carvers. The work of his father, Jose Dolores Lopez, and that of his nephew Eluid Levi Martinez also appears in the collections of the Smithsonian American Art Museum. Lopez grew up in Cordova, New Mexico, but ran away from his home when he was nineteen to work on the railroad. He returned to New Mexico many years later and devoted his time to carving animals and traditional santos (saints).</p>",Artist,George T. Lopez,1993-12-23,1900-4-23
2993,López,José Dolores,José Dolores López,1868,1937,"born Cordova, NM 1868-died Cordova, NM 1937",Verified,American,Individual,"Cordova, New Mexico, United States","Cordova, New Mexico, United States",,Artist,Jose Dolores Lopez,1937-5-17,1868-4-1
3080,Maldonado,Alexander A.,Alexander A. Maldonado,1901,1989,"born Mazatlan, Mexico 1901-died San Francisco, CA 1989",Verified,American,Individual,"Mazatlan, Mexico","Mazatlan, Mexico","<p>Alexander A. Maldonado came to America from Mexico when he was ten years old. His father died in 1914, and Maldonado left school to earn some money by delivering newspapers and taking care of the milkman's horse. He trained as a featherweight boxer, and claimed later to have won ""all"" the fights he ever entered. (Artist's statement, The Mexican Museum, San Francisco, Calif.) Maldonado worked in shipyards for more than fifty years until his retirement in 1971. He began to paint and created fantasy images inspired by scientific encyclopedias and his childhood sighting of Halley's Comet.</p>",Artist,Alexander Aramburo Maldonado,1989-2-10,1901-12-17
3141,Martinez,Julian,Julian Martinez,1879,1943,"born San Ildefonso Pueblo, NM 1879-died San Ildefonso Pueblo, NM 1943",Verified,American,Individual,"San Ildefonso Pueblo, New Mexico, United States","San Ildefonso Pueblo, New Mexico, United States",,Artist,Pocano,1943-3-6,1879
3142,Martinez,Maria,Maria Martinez,1886,1980,"born San Ildefonso Pueblo, NM 1886-died San Ildefonso Pueblo, NM 1980",Verified,American,Individual,"San Ildefonso Pueblo, New Mexico, United States","San Ildefonso Pueblo, New Mexico, United States",,Artist,Maria Montoya Martinez,1980-7-20,1886-4-5
3143,Martinez,Richard,Richard Martinez,1920,1987,born 1904-died 1987,Provisional,American,Individual,,,,Artist,Opa Mu Nu,1987,1904
3144,Martinez,Xavier,Xavier Martinez,1869,1943,"born Guadalajara, Mexico 1869-died Carmel, CA 1943",Verified,American,Individual,"Guadalajara, Mexico","Guadalajara, Mexico",,Artist,Javier Timoteo Martinez y Orozco,1943-1-13,1869-2-7
3381,Mondragón,José,José Mondragón,1931,1989,"born Cordova, NM 1931-died Cordova, NM 1989",Verified,American,Individual,"Cordova, New Mexico, United States","Cordova, New Mexico, United States","<p>José Mondragón was born on the fourth of August, the feast day of St. Dominic. Around his hometown of Cordova, he was known as “José Domingo” in honor of his patron saint. An accident in the 1950s forced Mondragón to give up farming, and he devoted his time instead to carving rosaries, animals, and santos (saints).</p>",Artist,José Domingo Mondragón,1989-12-23,1931-8-4
3384,Montoyo,Juan José,Juan José Montoyo,1870,2020,active ca. 1900-1970,Provisional,American,Individual,,,,Artist,Juan Jose Montoyo,,
3634,Orozco,José Clemente,José Clemente Orozco,1883,1949,"Mexican, born Ciudad Guzman, Mexico 1883-died Guadalajara, Mexico 1949",Verified,Mexican,Individual,"Ciudad Guzman, Jalisco, Mexico","Ciudad Guzman, Jalisco, Mexico",,Artist,Jose Clemente Orozco,1949-9-7,1883-11-23
3638,Ortega,José Benito,José Benito Ortega,1870,1907,"born La Cueva, NM 1858-died Raton, NM 1941",Verified,American,Individual,"La Cueva, Mora County, New Mexico, United States","La Cueva, Mora County, New Mexico, United States","<p>José Benito Ortega was known for his simple religious figures created out of scraps of wood. Families and communities used his sculptures for worship in their homes or churches, and often carried them in processions. (Lynda Hartigan, <i>Made with Passion</i>, 1990)</p>",Artist,Ben Ortega,1941-9-2,1858-3-20
3830,Ponce De Leon,Michael,Michael Ponce De Leon,1922,2022,"born Miami, FL 1922",Verified,American,Individual,"Miami, Florida, United States",,,Artist,Michael Ponce de Léon,,1922-7-4
3849,Posada,José Guadalupe,José Guadalupe Posada,1852,1913,"Mexican, Aguascalientes, Mexico 1852-died Mexico City, Mexico 1913",Verified,Mexican,Individual,"Aguascalientes, Mexico","Aguascalientes, Mexico",,Artist,Jose Guadalupe Posada,1913-1-20,1852-2-2
3930,Ramírez,Martín,Martín Ramírez,1895,1960,"born Jalisco, Mexico 1895-died Auburn, CA 1963",Verified,American,Individual,"Jalisco, Mexico","Jalisco, Mexico",,Artist,Martin Ramirez,1963-2-17,1895-3-31
3931,Ramos,Joe B.,Joe B. Ramos,1949,2049,"born Salinas, CA 1949",Verified,American,Individual,"Salinas, California, United States",,,Artist,Joe Bernal Ramos,,1949-6-21
3932,Ramos,Mel,Mel Ramos,1935,2018,"born Sacramento, CA 1935-died Oakland, CA 2018",Verified,American,Individual,"Sacramento, California, United States","Sacramento, California, United States",,Artist,Mel J. Ramos,2018-10-14,1935-7-24
4054,Rios,Roberto,Roberto Rios,1943,2043,born ca. 1943,Provisional,American,Individual,,,,Artist,,,
4120,Rosas,Mel,Mel Rosas,1950,2050,"born Des Moines, IA 1950",Verified,American,Individual,"Des Moines, Iowa, United States",,,Artist,Melvin Rosas,,1950-6-1
4739,Tamayo,Rufino,Rufino Tamayo,1899,1991,"Mexican, born Oaxaca, Mexico 1899-died Mexico City, Mexico 1991, active USA 1935-ca.1953",Verified,Mexican,Individual,"Oaxaca, Mexico","Oaxaca, Mexico",,Artist,,1991-6-24,1899-8-26
5657,Tapia,Luis,Luis Tapia,1950,2050,"born Santa Fe, NM 1950",Verified,American,Individual,"Santa Fe, New Mexico, United States",,,Artist,Luis Eligio Tapia,,1950-7-6
5807,Lozano,Adrian,Adrian Lozano,1921,2021,"born Aguascalientes, Mexico 1921",Verified,American,Individual,"Aguascalientes, Mexico",,,Artist,,,1921-9-5
5827,Moroles,Jesús,Jesús Moroles,1950,2015,"born Corpus Christi, TX 1950-died Jarrell, TX 2015",Verified,American,Individual,"Corpus Christi, Texas, United States","Corpus Christi, Texas, United States","<p>As a college student in North Texas, Jes&uacute;s Moroles tried to carve granite with a hammer and chisel. After only thirty minutes, he recalls, ""The stone took me over. It was so hard it barely showed what I had done to it . . . It controlled me. I fell in love with it."" He began sculpting exclusively in granite, using a diamond-edged electrical saw capable of ""tearing"" the stone. Moroles went on to establish one of the largest stone-carving workshops in the country, which he runs with the help of his father, brother, and sister. In 2001, Moroles began to strike his sculptures, sometimes with batons, sometimes with his hands or his feet, creating a type of music one audience member called ""an unearthly composition . . . that recalled the effect of the . . . Orient"" (Adlmann, <i>Moroles</i>, 2003).</p>",Artist,Jesus Moroles,2015-6-15,1950-9-22
5847,Fuente,Larry,Larry Fuente,1947,2047,"born Chicago, IL 1947",Verified,American,Individual,"Chicago, Illinois, United States",,,Artist,Lawrence Edward de la Fuente,,1947-9-29
5863,Sánchez,Judy,Judy Sánchez,1955,2055,born 1955,Provisional,American,Individual,,,,Artist,Judy Sanchez,,1955
5864,Trujillo,James,James Trujillo,1950,2050,"born Bernallio County, NM 1950",Provisional,American,Individual,"Bernallio County, New Mexico, United States",,,Artist,,,1950
5870,Martinez,Eluid Levi,Eluid Levi Martinez,1944,2044,"born Cordova, NM 1944",Verified,American,Individual,"Cordova, New Mexico, United States",,"<p>Eluid Levi Martinez's grandfather Jos&#233; Dolores L&#233;pez and his uncle, George L&#233;pez, were both <i>santeros</i> (saint carvers). Martinez became interested in carving in the 1960s when he realized that he did not own any of his family's work. He was also an engineer and, from 1995 to 2001, was the first Hispanic commissioner of the Bureau of Reclamation, which builds and maintains the dams, canals, and power plants in the western United States. Martinez spends all of his free time carving santos figures as well as whimsical bolo ties in the shape of animals.</p>",Artist,Eluid Levi Lopez y Martinez,,1944-4-26
5910,Amézcua,Consuelo González,Consuelo González Amézcua,1903,1975,"born Piedras Negras, Mexico 1903-died Del Rio, TX 1975",Verified,American,Individual,"Piedras Negras, Mexico","Piedras Negras, Mexico",,Artist,"Consuelo ""Chelo"" Gonzalez Amezcua",1975,1903-6-13
5933,Siqueiros,Francesco,Francesco Siqueiros,1936,2036,n.d.,Provisional,American?,Individual,,,,,,,
5983,Limón,lèo,lèo Limón,1952,2052,"born East Los Angeles, CA 1952",Verified,American,Individual,"East Los Angeles, California, United States",,,Artist,Lèo Limón,,1952-4-14
5984,Hernández,Ester,Ester Hernández,1944,2044,"born Dinuba, CA 1944",Verified,American,Individual,"Dinuba, California, United States",,,Artist,Ester Medina Hernández,,1944-12-3
5982,Cervántez,Yreina D.,Yreina D. Cervántez,1952,2052,"born Garden City, KS 1952",Verified,American,Individual,"Garden City, Kansas, United States",,,Artist,Yreina D. Cervantez,,1952-12-5
5985,Yanez,Larry,Larry Yanez,1949,2049,"born Yuma, AZ 1949",Provisional,American,Individual,"Yuma, Arizona, United States",,,Artist,Lawrence M. Yanez,,1949-1-1
5986,Montoya,Delilah,Delilah Montoya,1955,2055,"born Fort Worth, TX 1955",Verified,American,Individual,"Fort Worth, Texas, United States",,,Artist,,,1955-12-10
5987,Castillo,Mario,Mario Castillo,1945,2045,born 1945,Provisional,American,Individual,,,,Artist,Mario Enrique Castillo,,1945
5988,Rodriguez,Elizabeth,Elizabeth Rodriguez,1938,2038,n.d.,Provisional,American,Individual,,,,Artist,,,
5989,Espinoza,Carlota D.,Carlota D. Espinoza,1943,2043,"born Fraser, CO 1943",Verified,American,Individual,"Fraser, Colorado, United States",,,Artist,,,1943
5990,Arreguin,Alfredo,Alfredo Arreguin,1935,2035,"born Morelia, Mexico 1935",Verified,American,Individual,"Morelia, Mexico",,,Artist,Alfredo Mendoza Arreguin,,1935-1-20
5991,Gonzales,David M.,David M. Gonzales,1938,2038,n.d.,Provisional,American,Individual,,,,Artist,,,
5992,,,Self-Help Graphics,0,0,,Candidate,,Institution,,,,Printer,,,
6004,,,Los Dos de Los,1938,2038,n.d.,Provisional,American,Institution,,,,Artist,,,
6040,Bojórquez,"Charles ""Chaz""","Charles ""Chaz"" Bojórquez",1949,2049,"born Los Angeles, CA 1949",Verified,American,Individual,"Los Angeles, California, United States",,,Artist,Chaz Bojórquez,,1949-1-13
6044,Santistevan,Carlos,Carlos Santistevan,1938,2038,"born Denver, CO 1938",Verified,American,Individual,"Denver, Colorado, United States",,,Artist,,,1938-6-11
6098,Pereira,Octavio,Octavio Pereira,0,0,n.d.,Candidate,,Individual,,,,Printer,,,
6100,Martinez,Emanuel,Emanuel Martinez,1947,2047,"born Denver, CO 1947",Verified,American,Individual,"Denver, Colorado, United States",,,Artist,Manuel J. Martinez,,1947-11-3
6103,de la Rocha,Robert,Robert de la Rocha,0,0,,Candidate,,Individual,,,,Printer,,,
6203,Cortéz,Carlos A.,Carlos A. Cortéz,1923,2005,"born Milwaukee, WI 1923-died Chicago, IL 2005",Verified,American,Individual,"Milwaukee, Wisconsin, United States","Milwaukee, Wisconsin, United States",,Artist,Carlos Alfredo Cortéz,2005-1-19,1923-8-13
6213,Romero,Frank,Frank Romero,1941,2041,"born East Los Angeles, CA 1941",Verified,American,Individual,"East Los Angeles, California, United States",,"<p>Frank Romero grew up in the Hispanic, Asian, and Jewish communities of <st1:place>East Los Angeles</st1:place>. He began painting when he was five years old and as a teenager attended LA’s Otis Art Institute, one of the best art schools in the nation. Romero did not think of himself as a Chicano until he began to work with three other artists in an informal group known as Los Four. Los Four and other Hispanic artists throughout the West used wall murals, graffiti, and street theater to protest <st1:country-region><st1:place>America</st1:place></st1:country-region>’s involvement in <st1:country-region><st1:place>Vietnam</st1:place></st1:country-region> and <st1:place>Southeast Asia</st1:place>. The police response to antiwar demonstrations in <st1:City><st1:place>Los Angeles</st1:place></st1:City> was part of a larger pattern of violence against the minority communities that Romero experienced throughout his life. It takes years for the artist to think through and to paint these episodes in the life of his community, because, he says, “That stuff is hard for me to do, it hurts, it’s frightening” (<i>Los Angeles Times,</i> <st1:date Year=""2002"" Day=""28"" Month=""7"">July 28, 2002</st1:date> [online]). Romero’s brightly colored paintings celebrate the <st1:City><st1:place>Los Angeles</st1:place></st1:City> culture of lowriders and “rascuache,” the art of making something beautiful out of the ordinary.</p>",Artist,,,1941-7-11
6588,Almaraz,Carlos,Carlos Almaraz,1941,1989,"born Mexico City, Mexico 1941-died Los Angeles, CA 1989",Verified,American,Individual,"Mexico City, Mexico","Mexico City, Mexico",,Artist,Carlos D. Almaráz,1989-12-11,1941-10-5
6613,Treviño,Jesse,Jesse Treviño,1946,2046,"born Monterrey, Mexico 1946",Verified,American,Individual,"Monterrey, Mexico",,,Artist,Jesse Trevino,,1946-12-24
6624,Neri,Manuel,Manuel Neri,1930,2030,"born Sanger, CA 1930",Verified,American,Individual,"Sanger, California, United States",,"<p>Born in Sanger, California, Manuel Neri spent most of his childhood in the San Joaquin and San Fernando valleys, where his parents worked as farm laborers. He grew interested in ceramics through a course at San Francisco City College, where he met ceramist Peter Voulkos. After serving two years in the Army, Neri returned to the Bay Area, where he abandoned ceramics in favor of plaster. He felt that clay was too limiting, whereas plaster was “a mere blob,” allowing him to work quickly and spontaneously (<i>ARTnews</i>, Jan. 1981). Although art after the war was dominated by abstract expressionism, Neri swam against the stream and focused on human forms and gestures. He considers the human figure a “blank canvas” through which he can express different ideas (<i>Corcoran Day &amp; Night</i>, March/April 1997). Starting with a plaster mold of a model, Neri chips away at the surface and hacks at the limbs. He then paints the figures with expressionistic brushstrokes of color, explaining that the ancient Greeks painted their sculptures too.</p>",Artist,,,1930-4-12
6640,Valadez,John M.,John M. Valadez,1951,2051,"born Los Angeles, CA 1951",Provisional,American,Individual,"Los Angeles, California, United States",,,Artist,J. M. Valadez,,1951
6783,Lomas Garza,Carmen,Carmen Lomas Garza,1948,2048,"born Kingsville, TX 1948",Verified,American,Individual,"Kingsville, Texas, United States",,,Artist,Carmen L. Garza,,1948-9-12
6826,Martínez,Agueda,Agueda Martínez,1898,2000,"born Chamita, NM 1898-died Española, NM 2000",Verified,American,Individual,"Chamita, New Mexico, United States","Chamita, New Mexico, United States",,Artist,Agueda Martinez,2000-6-6,1898-3-13
6833,Avalos,David,David Avalos,1947,2047,"born San Diego, CA 1947",Verified,American,Individual,"San Diego, California, United States",,,Artist,David E. Avalos,,1947-12-12
6834,Castro,René,René Castro,1943,2042,"born Viña del Mar, Chile 1943",Provisional,American,Individual,"Viña del Mar, Chile",,,Artist,Rene Castro,,1943
6835,DeSiga,Daniel,Daniel DeSiga,1948,2048,"born Walla Walla, WA 1948",Verified,American,Individual,"Walla Walla, Washington, United States",,,Artist,,,1948-12-12
6836,Fuentes,Juan,Juan Fuentes,1950,2050,"born Artesia, NM 1950",Verified,American,Individual,"Artesia, New Mexico, United States",,,Artist,Juan R. Fuentes,,1950-4-5
6837,González,Héctor D.,Héctor D. González,1945,2045,"born Chapala, Mexico 1945",Provisional,American,Individual,"Chapala, Mexico",,,Artist,Hector D. Gonzalez,,1945
6838,González,Luis C.,Luis C. González,1953,2053,"born Mexico City, Mexico 1953",Verified,American,Individual,"Mexico City, Mexico",,,Artist,Luis C. Gonzalez,,1953-8-25
6839,Lucero,Linda Zamora,Linda Zamora Lucero,1951,2050,"born San Francisco, CA",Verified,American,Individual,"San Francisco, California, United States",,,Artist,,,
6840,Martínez,César,César Martínez,1944,2044,"born Laredo, TX 1944",Verified,American,Individual,"Laredo, Texas, United States",,,Artist,Cesar A. Martinez,,1944-6-4
6841,Montoya,Malaquias,Malaquias Montoya,1938,2038,"born Albuquerque, NM 1938",Verified,American,Individual,"Albuquerque, New Mexico, United States",,,Artist,,,1938-6-21
6842,,,RCAF,1970,1970,founded 1970,Verified,American,Institution,,,,Artist,Royal Chicano Air Force,,
6843,Romero,Alejandro,Alejandro Romero,1949,2049,"born Villahermosa, Mexico 1949",Verified,American,Individual,"Villahermosa, Mexico",,,Artist,,,1949-4-9
6844,Segura,Dan,Dan Segura,1930,2030,n.d.,Provisional,American,Individual,,,,Artist,,,
6845,Duardo,Richard,Richard Duardo,1952,2014,"born Los Angeles, CA 1952-died Los Angeles, CA 2014",Verified,American,Individual,"Los Angeles, California, United States","Los Angeles, California, United States",,Artist,,2014,1952
6847,Viramontes,Xavier,Xavier Viramontes,1947,2047,"born Richmond, CA 1947",Verified,American,Individual,"Richmond, California, United States",,,Artist,,,1947-9-16
7081,Trujillo,Irvin L.,Irvin L. Trujillo,1954,2054,"born Los Alamos, NM 1954",Verified,American,Individual,"Los Alamos, New Mexico, United States",,,Artist,,,1954-12-17
7084,Gutierrez,Van,Van Gutierrez,0,0,n.d.,Provisional,American,Individual,,,,Artist,,,
7109,Peña,Amado M.,"Amado M. Peña, Jr.",1943,2043,"born Laredo, TX 1943",Verified,American,Individual,"Laredo, Texas, United States",,,Artist,Amado Maurillo Peña Jr.,,1943-10-1
7114,Aguilar,Linda,Linda Aguilar,1946,2046,"born Santa Barbara, CA 1946",Verified,American,Individual,"Santa Barbara, California, United States",,,Artist,,,1946-1-14
7141,Chagoya,Enrique,Enrique Chagoya,1953,2053,"born Mexico City, Mexico 1953",Verified,American,Individual,"Mexico City, Mexico",,,Artist,,,1953-8-26
7156,Underwood,Consuelo Jiménez,Consuelo Jiménez Underwood,1949,2049,"born Sacramento, CA 1949",Verified,American,Individual,"Sacramento, California, United States",,"<p>Consuelo Jiménez Underwood grew up in California, the eleventh of twelve children born to a Chicana mother and a Huichol Indian father. She was the first person in her family to finish high school, and went on to enroll in religious studies and art at San Diego State University. She started as a painter, but became interested in fiber art while in college and soon turned all of her attention to weaving and textile design. Underwood imbues her pieces with powerful messages about her Chicana heritage, creating images that call attention to the dangers that Mexicans face trying to cross the border into the United States in search of a better life.</p>",Artist,Consuelo J. Underwood,,1949-4-29
7157,Rodríguez,Joseph,Joseph Rodríguez,1951,2051,born New York City 1951,Verified,American,Individual,"New York, Kings, New York, United States",,,Artist,Joseph Louis Rodriguez,,1951-6-6
7187,,,Segura Publishing Company,0,0,,Candidate,American,Institution,,,,Publisher,,,
7225,,,La Raza Silkscreen Center,1971,2071,founded 1971,Candidate,American,Institution,,,,Printer,La Raza Silkscreen Center,,
7226,,,Mission Grafica 85,0,0,,Candidate,American,Institution,,,,Printer,,,
7227,Favela,Ricardo,Ricardo Favela,1944,2007,"born Kingsburg, CA 1944-died Visalia, CA 2007",Verified,American,Individual,"Kingsburg, California, United States","Kingsburg, California, United States",,Artist,Ricardo V. Favela,2007,1944-1-13
7228,Cuellar,Rodolfo O.,Rodolfo O. Cuellar,1950,2050,"born Auburn, CA 1950",Verified,American,Individual,"Auburn, California, United States",,,Artist,Rudy Cuellar,,1950-11-23
7229,Pinedo,Maria Vita,Maria Vita Pinedo,1944,2044,"born Compton, CA 1944",Verified,American,Individual,"Compton, California, United States",,,Artist,Maria Pinedo,,1944-9-25
7232,Gronk,,Gronk,1954,2054,"born Los Angeles, CA 1954",Verified,American,Individual,"Los Angeles, California, United States",,,Artist,Glugio Gronk Nicandro,,1954
7272,Garcia,Art,Art Garcia,0,0,,Candidate,,Individual,,,,Printer,,,
7289,Valdez,Patssi,Patssi Valdez,1951,2051,"born Los Angeles, CA 1951",Verified,American,Individual,"Los Angeles, California, United States",,,Artist,,,1951-12-31
7405,Herrera,Nicholas,Nicholas Herrera,1964,2064,"born El Rito, NM 1964",Verified,American,Individual,"El Rito, New Mexico, United States",,"<p>Nicholas Herrera is known as <i>El Rito Santero</i> (the Saint maker of El Rito) in his New Mexico community. When he was young, he was mixed up in drugs, alcohol, guns, and fast cars and had several run-ins with the police. In 1990, however, he was involved in a serious car accident that changed his life. The accident put him in a coma, during which he saw a <i>muerte</i> (death figure) by his great-uncle Jos&#233; In&#233;s Herrera at the end of a tunnel of light. He believes this image brought him out of the coma and that God intended for him to become a saint maker (Awalt and Rhetts, <i>Herrera, Visions of My Heart</i>, with essay by Charles Rosenak, 2003). Saint makers, or <i>santeros,</i> create devotional paintings and carvings of saints for use in churches and in private homes. Herrera makes crucifixes, death figures, and saints as well as sculptures inspired by modern issues such as police brutality and the dangers of nuclear power.</p>",Artist,,,1964-7-11
7414,Anaya,Tobias,Tobias Anaya,1908,1988,"born Galisteo, NM 1908-died Galisteo, NM 1988",Verified,American,Individual,"Galisteo, New Mexico, United States","Galisteo, New Mexico, United States",,Artist,,1988-11-29,1908-10-3
7415,Brito,Frank,Frank Brito,1922,2005,"born Albuquerque, NM 1922-died Santa Fe, NM 2005",Verified,American,Individual,"Albuquerque, New Mexico, United States","Albuquerque, New Mexico, United States","<p>Frank Brito grew up in Santa Fe and worked as a plumber and plasterer. He always enjoyed whittling, but began to carve seriously in 1967 while recovering from surgery. Brito specializes in <i>bultos </i>(three-dimensional carvings of saints) and is also one of a growing number of New Mexican artists who carve images of animals.</p>",Artist,"Frank Brito, Sr.",2005-2-18,1922-1-29
