Title,Alternative Title,Creator,Image,Weblog,Description,Add to Description 1,Add to Description 2,Subject,Date,Type,Format,Source,Language,Contributor,Annotates,Access Rights
Javier H.,,César Martínez,https://nationalmuseumofmexicanart.org/img/decef500-6b39-4c3e-8edd-9529885a0604/1997.33_web.png,https://nationalmuseumofmexicanart.org/artworks/javier-h,"Acrylic on canvas / acrílico sobre lienzo. 36"" x 31"".",,,"from the ""Vato"" series|man|portrait",1978-95,,,"NMMA Permanent Collection, 1997.33, Museum Purchase along with funds from Dr. Merilyn and Lawrence Salomon",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Adelaido Cruzas,,Pablo Helguera,https://nationalmuseumofmexicanart.org/img/3b8d1b39-908b-4b1a-ba35-fe89caca6303/1998.12_web.png,https://nationalmuseumofmexicanart.org/artworks/adelaido-cruzas,"Acrylic on unstretched canvas with brass grommets / acrílico sobre lienzo sin tensar con ojales de latón. 40 1/4"" x 50 3/4"".",,,circus|phonemes|bathers|adelaido cruzas|man|smoking|memory|banner|poster|humor|text|advertisement,1996,,,"NMMA Permanent Collection, 1998.12, Gift of the artist",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
"Vida, historia, unidad y raza","Life, History, Unity and Race",Alonso Encinas,https://nationalmuseumofmexicanart.org/img/c6137838-8031-48de-b564-acbfa8297167/1999.271_web.png,https://nationalmuseumofmexicanart.org/artworks/vida-historia-unidad-y-raza,"Paint on linen / pintura sobre lino. 22 1/2"" x 34 1/2"".",,,pachuco|gangs|barrios|panuelas|border|lowrider|religion|Jesus|Guadalupe|Virgin|cross|flora|fauna|cars|automobiles|transportation|unity|race|equality|family|architecture|clown|people|men|women|children|man|woman|child|Mother and child|crowd|urbanism|urbanization|cityscape|urban landscape|eagle|peacock|bird,1992,,,"NMMA Permanent Collection, 1999.271",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Veterans Plaza Mexican Fine Arts Center,Plaza de Veteranos del Centro Mexicano de Bellas Artes,Luis  Jiménez,https://nationalmuseumofmexicanart.org/img/29dda9ff-f1c2-4581-8f83-67ff5f16dad1/2000.120_web.png,https://nationalmuseumofmexicanart.org/artworks/veterans-plaza-mexican-fine-arts-center,"Watercolor and pencil on paper / acuarela y lápiz sobre papel. 21"" x 51"".",,,bowl|kitchenware|kitchen|food|utilitarian|flora|fauna|bird|gourd,1999,,,"NMMA Permanent Collection, 2000.120, Gift of the artist in memory of his mother Alicia Franco Jiménez",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Untitled,Sin título,Francisco G. Mendoza,https://nationalmuseumofmexicanart.org/img/b64fb726-9ba8-4426-9bc9-79e38698e6ad/2000.127_web.png,https://nationalmuseumofmexicanart.org/artworks/untitled-384,"Colored pencil, ink and correction fluid / lápices de color, tinta y líquido corrector. 15"" x 53"".",,,family|Fried|Gregoria Mendoza|mother of the artist|Chicago|mosaic|CPS| Chicago artist|Pilsen artist,1999,,,"NMMA Permanent Collection, 2000.127, Gift of the artist in honor of Gregoria de Mendoza",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
El visionario II,The Visionary II,Einar and Jamex de la Torre,https://nationalmuseumofmexicanart.org/img/3b2e907c-f292-45b4-92b7-b5ebe1ad2ae4/2002.185_front_web.png,https://nationalmuseumofmexicanart.org/artworks/el-visionario-ii,"Glass and mixed media / vidrio y técnica mixta. 27"" x 12 1/2"" x 9"".",,,capitalist greed|el ojo|evil eye|humor|man|glass|mxed media,2001,,,"NMMA Permanent Collection, 2002.185, Gift of Barbara and Gerald Weiner",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Entre dos mundos,Between Two Worlds,Eufemio Pulido,https://nationalmuseumofmexicanart.org/img/40fe7c8a-67e4-4d92-95b7-3365825673e4/2003.350E_web.png,https://nationalmuseumofmexicanart.org/artworks/entre-dos-mundos-de-la-carpeta-bajo-un-mismo-cielo,"Linocut, AP 3/5 -  linograbado, PA 3/5. 21"" x 15 3/4"" (paper size).",de la carpeta Bajo un mismo cielo,from the Under the Same Sky portfolio,Michoacan|identity crisis|identity politics|identity,2003,,,"NMMA Permanent Collection, 2003.350 E, Gift of Federación de Clubes Michoacanos en Illinois",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Transmutación,Transmutation,Roberto Ferreyra,https://nationalmuseumofmexicanart.org/img/b8f78989-da13-4936-b379-76da32034abf/2003.350.H_web.png,https://nationalmuseumofmexicanart.org/artworks/transmutación-de-la-carpeta-bajo-un-mismo-cielo,"Linocut, AP 3/5 -  linograbado, PA 3/5. 21"" x 15 3/4"" (paper size).",de la carpeta Bajo un mismo cielo,from the Under the Same Sky portfolio,Michoacan|transmutation|fish|surreal|man|mermaid|extintion|marmaid|fish|fauna|extint specie|self portrait|,2003,,,"NMMA Permanent Collection, 2003.350 H, Gift of Federación de Clubes Michoacanos en Illinois",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Al vuelo de la monarca,The Flight of the Monarch,Hector Duarte,https://nationalmuseumofmexicanart.org/img/5e2a6893-3cc2-4972-bb38-50140607a44e/2003.350I_web.png,https://nationalmuseumofmexicanart.org/artworks/al-vuelo-de-la-monarca-de-la-carpeta-bajo-un-mismo-cielo,"Etching, AP 3/5 -  aguafuerte, PA 3/5. 15 3/4"" x 21"" (paper size).",de la carpeta Bajo un mismo cielo,from the Under the Same Sky portfolio,Michoacan|monarch butterfly|migration|fingerprint|heart,2003,,,"NMMA Permanent Collection, 2003.350 I, Gift of Federación de Clubes Michoacanos en Illinois",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Pepper Plant,Planta de chile,Ruben Trejo,https://nationalmuseumofmexicanart.org/img/5f43a611-9a0e-4a9c-8e9a-446e8ac6e18b/2003.365_front_web.png,https://nationalmuseumofmexicanart.org/artworks/pepper-plant,"Polychrome wood / madera policromada. 29"" x 14"" x 16"".",,,pepper|jalepeño|phallic symbol|humor|contemporary|flora|food|cooking|kitchen|sculpture,1981,,,"NMMA Permanent Collection, 2003.365, Gift from the Tomás Ybarra-Frausto and Dudley Brooks Collection",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Laura Berenice,,Victoria Delgadillo,https://nationalmuseumofmexicanart.org/img/180025e4-4cfa-4388-99c1-17b377c7ed4b/2004.125_web.png,https://nationalmuseumofmexicanart.org/artworks/laura-berenice,"Acrylic on canvas and mixed media / acrílico sobre lienzo y técnica mixta. 33 5/8"" x 25 7/8"" x 2"".",,,Hijas de Juárez|murder|femicide|rape|maquiladoras| women|woman| femicide|women artists|woman artists|death|Day of the Dead|Dia de los Muertos|pain|suffering|torture|arte popular|folk art|ex voto,2003,,,"NMMA Permanent Collection, 2004.125, Purchase made possible by Marcia E. Lazar and Alan O. Amos",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
The Garden of Earthly Delights,El jardín de las delicias,Rubén Ortiz Torres,https://nationalmuseumofmexicanart.org/img/bc9d6a1e-98df-4d61-b65e-480316c69489/2005.1_web.png,https://nationalmuseumofmexicanart.org/artworks/the-garden-of-earthly-delights,"Customized tractor lawn mower / cortadora de césped personalizada. 43"" x 93"" x 37"" (unopened).",,,immigrant labor|garden|low rider|humor|transportation|urbanism|urbanization,2002,,,"NMMA Permanent Collection, 2005.1, Purchase made possible by LaSalle Bank",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Untitled,Sin título,Carlos Cortéz,https://nationalmuseumofmexicanart.org/img/82647503-309f-4dc1-bb1b-ed5580b12806/2005.45_web.png,https://nationalmuseumofmexicanart.org/artworks/untitled-482,"Acrylic on canvas with attached paper calendar / acrílico sobre lienzo con calendario de papel adjunto. 53 3/4"" x 33 3/8"".",,,jail|incarceration|prison|cell|Chicago artist|lonliness|poet|,N.D. / S.F.,,,"NMMA Permanent Collection, 2005.45, Gift from the Carlos Cortéz Estate",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
